content,score,casefold,remove noise,slang,stopwords,stopwords2,stem,sentiment,topic
Hang terus aplikasinya. Hingga tdk bs buy or sale. Boleh maintenace tp jgn di waktu runnibg,1,hang terus aplikasinya. hingga tdk bs buy or sale. boleh maintenace tp jgn di waktu runnibg,hang terus aplikasinya hingga tdk bs buy or sale boleh maintenace tp jgn di waktu runnibg,hang terus aplikasinya hingga tidak bisa buy orang sale boleh maintenace tetapi jangan di waktu runnibg,hang aplikasinya tidak buy orang sale maintenace jangan runnibg,hang aplikasinya buy orang sale maintenace runnibg,hang aplikasi tidak buy orang sale maintenace jangan runnibg,neg,0
Mulai mencurigakan karena PIN berkali-kali error dan perbaikan mainten padahal PIN sudah diganti.,1,mulai mencurigakan karena pin berkali-kali error dan perbaikan mainten padahal pin sudah diganti.,mulai mencurigakan karena pin berkali kali error dan perbaikan mainten padahal pin sudah diganti,mulai mencurigakan karena pin berkali kali error dan perbaikan mainten padahal pin sudah diganti,mencurigakan pin berkali kali error perbaikan mainten pin diganti,mencurigakan pin berkali kali error perbaikan mainten pin diganti,curiga pin kali kali error baik mainten pin ganti,neg,0
Kalau bisa bintang 0 saya kasi 0 Katanya verifikasi paling lama 1 hari ini dah 4 hari belum ada pemberitahuan. Disuruh sabar menunggu terus Nyesal kalian kalau mau daftar disini mending di ajaib atau dimana yang penting selain ini,1,kalau bisa bintang 0 saya kasi 0 katanya verifikasi paling lama 1 hari ini dah 4 hari belum ada pemberitahuan. disuruh sabar menunggu terus nyesal kalian kalau mau daftar disini mending di ajaib atau dimana yang penting selain ini,kalau bisa bintang saya kasi katanya verifikasi paling lama hari ini dah hari belum ada pemberitahuan disuruh sabar menunggu terus nyesal kalian kalau mau daftar disini mending di ajaib atau dimana yang penting selain ini,kalau bisa bintang saya kasih katanya verifikasi paling lama hari ini sudah hari belum ada pemberitahuan disuruh sabar menunggu terus menyesal kalian kalau mau daftar di sini lebih baik di ajaib atau dimana yang penting selain ini,bintang kasih verifikasi belum pemberitahuan disuruh sabar menunggu menyesal daftar ajaib dimana,bintang kasih verifikasi pemberitahuan disuruh sabar menunggu menyesal daftar ajaib dimana,bintang kasih verifikasi belum pemberitahuan suruh sabar tunggu sesal daftar ajaib mana,neg,0
"Sementara bintang 2 dulu, baru mau pakai beberapa hari app ngelag di jam 09.25",2,"sementara bintang 2 dulu, baru mau pakai beberapa hari app ngelag di jam 09.25",sementara bintang dulu baru mau pakai beberapa hari app ngelag di jam,sementara bintang dulu baru mau pakai beberapa hari app ngelag di jam,bintang pakai app ngelag jam,bintang pakai app ngelag jam,bintang pakai app ngelag jam,neg,0
saya keberatan dengan penambahan biaya beban beli dan jual stockbit bertambah dari biaya beban beli 0.10 % capai 0.15 % juga biaya beban jual dari 0.20 capai 0.25 % sekarang dibanding 1 tahun yang lalu. jadi saran aku buat stockbit turunkan biaya broker supaya lebih untung dan lebih nyaman itu saja terima gajih sekian,1,saya keberatan dengan penambahan biaya beban beli dan jual stockbit bertambah dari biaya beban beli 0.10 % capai 0.15 % juga biaya beban jual dari 0.20 capai 0.25 % sekarang dibanding 1 tahun yang lalu. jadi saran aku buat stockbit turunkan biaya broker supaya lebih untung dan lebih nyaman itu saja terima gajih sekian,saya keberatan dengan penambahan biaya beban beli dan jual stockbit bertambah dari biaya beban beli capai juga biaya beban jual dari capai sekarang dibanding tahun yang lalu jadi saran aku buat stockbit turunkan biaya broker supaya lebih untung dan lebih nyaman itu saja terima gajih sekian,saya keberatan dengan penambahan biaya beban beli dan jual stockbit bertambah dari biaya beban beli capai juga biaya beban jual dari capai sekarang dibanding tahun yang lalu jadi saran aku buat stockbit turunkan biaya broker supaya lebih untung dan lebih nyaman itu saja terima gajih sekian,keberatan penambahan biaya beban beli jual stockbit bertambah biaya beban beli capai biaya beban jual capai dibanding saran stockbit turunkan biaya broker untung nyaman terima gajih sekian,keberatan penambahan biaya beban beli jual stockbit bertambah biaya beban beli capai biaya beban jual capai dibanding saran stockbit turunkan biaya broker untung nyaman terima gajih sekian,berat tambah biaya beban beli jual stockbit tambah biaya beban beli capai biaya beban jual capai banding saran stockbit turun biaya broker untung nyaman terima gajih sekian,neg,2
"Kalo bisa jumlah keseluruhan total nominal yg harus di bayar oleh konsumen di pesanan saham ipo ada menu jumlahnya keseluruhan, supaya kami tdk pusing harus menjumlah sendiri.🙏👍",3,"kalo bisa jumlah keseluruhan total nominal yg harus di bayar oleh konsumen di pesanan saham ipo ada menu jumlahnya keseluruhan, supaya kami tdk pusing harus menjumlah sendiri.🙏👍",kalo bisa jumlah keseluruhan total nominal yg harus di bayar oleh konsumen di pesanan saham ipo ada menu jumlahnya keseluruhan supaya kami tdk pusing harus menjumlah sendiri,kalau bisa jumlah keseluruhan total nominal yang harus di bayar oleh konsumen di pesanan saham ipo ada menu jumlahnya keseluruhan supaya kami tidak pusing harus menjumlah sendiri,total nominal bayar konsumen pesanan saham ipo menu tidak pusing menjumlah,total nominal bayar konsumen pesanan saham ipo menu pusing menjumlah,total nominal bayar konsumen pesan saham ipo menu tidak pusing jumlah,neg,3
"Screener mohon diperbaiki, hanya 1 parameter yg bisa tampil",1,"screener mohon diperbaiki, hanya 1 parameter yg bisa tampil",screener mohon diperbaiki hanya parameter yg bisa tampil,screener mohon diperbaiki hanya parameter yang bisa tampil,screener mohon diperbaiki parameter tampil,screener mohon diperbaiki parameter tampil,screener mohon baik parameter tampil,neg,0
"Aplikasi eror Mulu, giliran jamnya maintenance, bisa ga maintenance di malem aja? Ga jelas",1,"aplikasi eror mulu, giliran jamnya maintenance, bisa ga maintenance di malem aja? ga jelas",aplikasi eror mulu giliran jamnya maintenance bisa ga maintenance di malem aja ga jelas,aplikasi eror melulu giliran jamnya maintenance bisa tidak maintenance di malam saja tidak jelas,aplikasi eror melulu giliran jamnya maintenance tidak maintenance malam tidak,aplikasi eror melulu giliran jamnya maintenance maintenance malam,aplikasi eror melulu gilir jam maintenance tidak maintenance malam tidak,neg,7
adakah hal yg lbh ribet lagi saat pendaftaran . daftar rekening rdn pula lagi lama bet anying kek mau minjem shopee pay,1,adakah hal yg lbh ribet lagi saat pendaftaran . daftar rekening rdn pula lagi lama bet anying kek mau minjem shopee pay,adakah hal yg lbh ribet lagi saat pendaftaran daftar rekening rdn pula lagi lama bet anying kek mau minjem shopee pay,adakah hal yang lebih ribet lagi saat pendaftaran daftar rekening rdn pula lagi lama banget anjing kayak mau pinjam shopee pay,adakah ribet pendaftaran daftar rekening rdn banget anjing kayak pinjam shopee pay,adakah ribet pendaftaran daftar rekening rdn banget anjing kayak pinjam shopee pay,ada ribet daftar daftar rekening rdn banget anjing kayak pinjam shopee pay,neg,5
Knp stockbit jam 9.01 -9.30 sulit sekali bertransaksi ???? Aplikasi eror trs😭,2,knp stockbit jam 9.01 -9.30 sulit sekali bertransaksi ???? aplikasi eror trs😭,knp stockbit jam sulit sekali bertransaksi aplikasi eror trs,kenapa stockbit jam sulit sekali bertransaksi aplikasi eror terus,stockbit jam sulit bertransaksi aplikasi eror,stockbit jam sulit bertransaksi aplikasi eror,stockbit jam sulit transaksi aplikasi eror,neg,2
"Min pin nya kok ga bisa masuk yaa pdhl udh bener, terus coba ganti pin juga sama tetep ga bisa masuk",1,"min pin nya kok ga bisa masuk yaa pdhl udh bener, terus coba ganti pin juga sama tetep ga bisa masuk",min pin nya kok ga bisa masuk yaa pdhl udh bener terus coba ganti pin juga sama tetep ga bisa masuk,min pin nya kok tidak bisa masuk ya padahal sudah benar terus coba ganti pin juga sama tetap tidak bisa masuk,min pin tidak masuk ya coba ganti pin tidak masuk,min pin masuk ya coba ganti pin masuk,min pin tidak masuk ya coba ganti pin tidak masuk,neg,0
Proses deposit lama trus responya nya pun lama banget keterangan tidak jelas,1,proses deposit lama trus responya nya pun lama banget keterangan tidak jelas,proses deposit lama trus responya nya pun lama banget keterangan tidak jelas,proses deposit lama terus responya nya pun lama banget keterangan tidak jelas,proses deposit responya banget keterangan tidak,proses deposit responya banget keterangan,proses deposit responya banget terang tidak,neg,6
Mengecewakan respon nya deposit keterangan di apk nya sukses tapi saldo ga bertambah,1,mengecewakan respon nya deposit keterangan di apk nya sukses tapi saldo ga bertambah,mengecewakan respon nya deposit keterangan di apk nya sukses tapi saldo ga bertambah,mengecewakan respon nya deposit keterangan di apakah nya sukses tapi saldo tidak bertambah,mengecewakan respon deposit keterangan sukses saldo tidak bertambah,mengecewakan respon deposit keterangan sukses saldo bertambah,kecewa respon deposit terang sukses saldo tidak tambah,neg,6
"Saya beri bintang 3 dulu.. Sudah lumayan bagus, semoga apa yang kurang terus di perbaiki agar lebih baik. Thanks",3,"saya beri bintang 3 dulu.. sudah lumayan bagus, semoga apa yang kurang terus di perbaiki agar lebih baik. thanks",saya beri bintang dulu sudah lumayan bagus semoga apa yang kurang terus di perbaiki agar lebih baik thanks,saya beri bintang dulu sudah lumayan bagus semoga apa yang kurang terus di perbaiki agar lebih baik terima kasih,bintang lumayan bagus semoga perbaiki terima kasih,bintang lumayan bagus semoga perbaiki terima kasih,bintang lumayan bagus moga baik terima kasih,neg,1
Daftar akun real trading tanggal 28 Desember 2020 sampai sekarang masih dalam proses. Berarti sudah 10 hari kerja masih belum aktif dan tidak sesuai yang dijanjikan yaitu menunggu 4 sampai 7 hari kerja.,1,daftar akun real trading tanggal 28 desember 2020 sampai sekarang masih dalam proses. berarti sudah 10 hari kerja masih belum aktif dan tidak sesuai yang dijanjikan yaitu menunggu 4 sampai 7 hari kerja.,daftar akun real trading tanggal desember sampai sekarang masih dalam proses berarti sudah hari kerja masih belum aktif dan tidak sesuai yang dijanjikan yaitu menunggu sampai hari kerja,daftar akun real trading tanggal desember sampai sekarang masih dalam proses berarti sudah hari kerja masih belum aktif dan tidak sesuai yang dijanjikan yaitu menunggu sampai hari kerja,daftar akun real trading tanggal desember proses kerja belum aktif tidak sesuai dijanjikan menunggu kerja,daftar akun real trading tanggal desember proses kerja aktif sesuai dijanjikan menunggu kerja,daftar akun real trading tanggal desember proses kerja belum aktif tidak sesuai janji tunggu kerja,neg,4
Sekuritas itu mencari profit bukan pencitraan,1,sekuritas itu mencari profit bukan pencitraan,sekuritas itu mencari profit bukan pencitraan,sekuritas itu mencari profit bukan pencitraan,sekuritas mencari profit bukan pencitraan,sekuritas mencari profit pencitraan,sekuritas cari profit bukan citra,neg,4
"SAMPE SEKARANG BELOM ACC.. GAK JELAS .. DI TULISNYA ESTIMASI 1 HARI VERIFNYA, INI SAMPE 2 HARI",1,"sampe sekarang belom acc.. gak jelas .. di tulisnya estimasi 1 hari verifnya, ini sampe 2 hari",sampe sekarang belom acc gak jelas di tulisnya estimasi hari verifnya ini sampe hari,sampai sekarang belum accord tidak jelas di tulisnya estimasi hari verifnya ini sampai hari,belum accord tidak tulisnya estimasi verifnya,accord tulisnya estimasi verifnya,belum accord tidak tulis estimasi verifnya,neg,0
"Ngga jelas, gagal masuk verifikasi number, padahal no is true, check no handphone",1,"ngga jelas, gagal masuk verifikasi number, padahal no is true, check no handphone",ngga jelas gagal masuk verifikasi number padahal no is true check no handphone,tidak jelas gagal masuk verifikasi number padahal no is true check no handphone,tidak gagal masuk verifikasi number no is true check no handphone,gagal masuk verifikasi number no is true check no handphone,tidak gagal masuk verifikasi number no is true check no handphone,neg,0
Chat support respon lama astagaaa,1,chat support respon lama astagaaa,chat support respon lama astagaa,chat support respon lama astaga,chat support respon astaga,chat support respon astaga,chat support respon astaga,neg,0
Aplikasihnya bagus cuma untuk buka rekening sahamnya susah amat harus bank bca atau bank artos (jago) gak bisa yang syariah,3,aplikasihnya bagus cuma untuk buka rekening sahamnya susah amat harus bank bca atau bank artos (jago) gak bisa yang syariah,aplikasihnya bagus cuma untuk buka rekening sahamnya susah amat harus bank bca atau bank artos jago gak bisa yang syariah,aplikasihnya bagus cuma untuk buka rekening sahamnya susah amat harus bank baca atau bank artos jago tidak bisa yang syariat,aplikasihnya bagus buka rekening sahamnya susah bank baca bank artos jago tidak syariat,aplikasihnya bagus buka rekening sahamnya susah bank baca bank artos jago syariat,aplikasihnya bagus buka rekening saham susah bank baca bank artos jago tidak syariat,neg,3
mulai sering lag disaat jam market....hadeeh lag terooooooosssssss!!!!!!!!!! babi,1,mulai sering lag disaat jam market....hadeeh lag terooooooosssssss!!!!!!!!!! babi,mulai sering lag disaat jam market hadeeh lag terooss babi,mulai sering lag di saat jam market aduh lag terooss babi,lag jam market aduh lag terooss babi,lag jam market aduh lag terooss babi,lag jam market aduh lag terooss babi,neg,4
Ada saran iplikasi serupa tapi yg ga Maintenance nya pas jam bursa ga bray? Kesel kena MT mulu 😇 Setidaknya Maintenance pada jam tutup bursa itu lebih bijak.,1,ada saran iplikasi serupa tapi yg ga maintenance nya pas jam bursa ga bray? kesel kena mt mulu 😇 setidaknya maintenance pada jam tutup bursa itu lebih bijak.,ada saran iplikasi serupa tapi yg ga maintenance nya pas jam bursa ga bray kesel kena mt mulu setidaknya maintenance pada jam tutup bursa itu lebih bijak,ada saran iplikasi serupa tapi yang tidak maintenance nya pas jam bursa tidak bro kesal kena makan teman melulu setidaknya maintenance pada jam tutup bursa itu lebih bijak,saran iplikasi tidak maintenance pas jam bursa tidak bro kesal kena makan teman melulu maintenance jam tutup bursa bijak,saran iplikasi maintenance pas jam bursa bro kesal kena makan teman melulu maintenance jam tutup bursa bijak,saran iplikasi tidak maintenance pas jam bursa tidak bro kesal kena makan teman melulu maintenance jam tutup bursa bijak,neg,7
chat support respon lelet.,3,chat support respon lelet.,chat support respon lelet,chat support respon lambat,chat support respon lambat,chat support respon lambat,chat support respon lambat,neg,0
"bisa belajar saham gratis, akan lebih bagus jika ada referal program nya",2,"bisa belajar saham gratis, akan lebih bagus jika ada referal program nya",bisa belajar saham gratis akan lebih bagus jika ada referal program nya,bisa belajar saham gratis akan lebih bagus jika ada referal program nya,belajar saham gratis bagus referal program,belajar saham gratis bagus referal program,ajar saham gratis bagus referal program,neg,3
Jelek sekali dan tidak rekomendasi bagi para trader karena sering error di waktu penting,1,jelek sekali dan tidak rekomendasi bagi para trader karena sering error di waktu penting,jelek sekali dan tidak rekomendasi bagi para trader karena sering error di waktu penting,jelek sekali dan tidak rekomendasi bagi para trader karena sering error di waktu penting,jelek tidak rekomendasi trader error,jelek rekomendasi trader error,jelek tidak rekomendasi trader error,neg,4
"Ngak lagi lagi dah pake aplikasi ini, Dari pada nyesel. DEPO CEPET WITHDRAW LAMAAAAAAAAAAAA BANGETTTT",1,"ngak lagi lagi dah pake aplikasi ini, dari pada nyesel. depo cepet withdraw lamaaaaaaaaaaaa bangetttt",ngak lagi lagi dah pake aplikasi ini dari pada nyesel depo cepet withdraw lamaa bangett,tidak lagi lagi sudah pakai aplikasi ini dari pada menyesal depo cepat withdraw lama banget,tidak pakai aplikasi menyesal depo cepat withdraw banget,pakai aplikasi menyesal depo cepat withdraw banget,tidak pakai aplikasi sesal depo cepat withdraw banget,neg,0
"Error terus servernya, ga bisa cut loss",1,"error terus servernya, ga bisa cut loss",error terus servernya ga bisa cut loss,error terus servernya tidak bisa cut loss,error servernya tidak cut loss,error servernya cut loss,error servernya tidak cut loss,neg,4
"Penarikan dana terlalu lama, selalu butuh 3 hari dlu baru bisa ditarik",2,"penarikan dana terlalu lama, selalu butuh 3 hari dlu baru bisa ditarik",penarikan dana terlalu lama selalu butuh hari dlu baru bisa ditarik,penarikan dana terlalu lama selalu butuh hari dulu baru bisa ditarik,penarikan dana butuh ditarik,penarikan dana butuh ditarik,tari dana butuh tarik,neg,6
Chart tidak bisa di buka.,2,chart tidak bisa di buka.,chart tidak bisa di buka,chart tidak bisa di buka,chart tidak buka,chart buka,chart tidak buka,neg,4
tidak dapat menemukan data diri ketika ingin merubah pin/password,2,tidak dapat menemukan data diri ketika ingin merubah pin/password,tidak dapat menemukan data diri ketika ingin merubah pin password,tidak dapat menemukan data diri ketika ingin mengubah pin password,tidak menemukan data mengubah pin password,menemukan data mengubah pin password,tidak temu data ubah pin password,neg,0
"Tampilan chart sempit banget terganggu dengan logo stockbit, tolong di benahi",3,"tampilan chart sempit banget terganggu dengan logo stockbit, tolong di benahi",tampilan chart sempit banget terganggu dengan logo stockbit tolong di benahi,tampilan chart sempit banget terganggu dengan logo stockbit tolong di benahi,tampilan chart sempit banget terganggu logo stockbit tolong benahi,tampilan chart sempit banget terganggu logo stockbit tolong benahi,tampil chart sempit banget ganggu logo stockbit tolong benah,neg,2
Terlalu lama makan waktu 1 minggu buat penarikan dan jual saham......,1,terlalu lama makan waktu 1 minggu buat penarikan dan jual saham......,terlalu lama makan waktu minggu buat penarikan dan jual saham,terlalu lama makan waktu minggu buat penarikan dan jual saham,makan minggu penarikan jual saham,makan minggu penarikan jual saham,makan minggu tari jual saham,neg,4
"tiga hari TDK bisa login, lapor jg nggak diresfons stockbit",2,"tiga hari tdk bisa login, lapor jg nggak diresfons stockbit",tiga hari tdk bisa login lapor jg nggak diresfons stockbit,tiga hari tidak bisa login lapor juga enggak diresfons stockbit,tidak login lapor diresfons stockbit,login lapor diresfons stockbit,tidak login lapor diresfons stockbit,neg,2
banyak trx yang reject,1,banyak trx yang reject,banyak trx yang reject,banyak trx yang reject,trx reject,trx reject,trx reject,neg,5
"Saran saya kalo mau maintenance itu jangan pas jam bursa donk kalo kayak gini rugi dong waktunya jual saham yg dari kemaren malah maintenance, duh sebel banget 😡😡😡",1,"saran saya kalo mau maintenance itu jangan pas jam bursa donk kalo kayak gini rugi dong waktunya jual saham yg dari kemaren malah maintenance, duh sebel banget 😡😡😡",saran saya kalo mau maintenance itu jangan pas jam bursa donk kalo kayak gini rugi dong waktunya jual saham yg dari kemaren malah maintenance duh sebel banget,saran saya kalau mau maintenance itu jangan pas jam bursa dong kalau kayak begini rugi dong waktunya jual saham yang dari kemarin bahkan maintenance aduh kesal banget,saran maintenance jangan pas jam bursa kayak rugi jual saham kemarin maintenance aduh kesal banget,saran maintenance pas jam bursa kayak rugi jual saham kemarin maintenance aduh kesal banget,saran maintenance jangan pas jam bursa kayak rugi jual saham kemarin maintenance aduh kesal banget,neg,7
Tiap hari maintenance tapi error sering. Kerjaannya team stockbit apaan sih? Loss ini yg tnggung jwb siapa?,1,tiap hari maintenance tapi error sering. kerjaannya team stockbit apaan sih? loss ini yg tnggung jwb siapa?,tiap hari maintenance tapi error sering kerjaannya team stockbit apaan sih loss ini yg tnggung jwb siapa,tiap hari maintenance tapi error sering kerjaannya tim stockbit apa sih loss ini yang tnggung jawab siapa,maintenance error kerjaannya tim stockbit sih loss tnggung,maintenance error kerjaannya tim stockbit sih loss tnggung,maintenance error kerja tim stockbit sih loss tnggung,neg,2
Kalo butuh uang di saat ini juga susah banget harus nunggu lamaaaaaa sampe 3h masa harus pinjem duit ke orang dolo???? Mao withdraw duit sendiri berasa susahhh bgt padahal duit tu udah depan mata🤣 kapokk,3,kalo butuh uang di saat ini juga susah banget harus nunggu lamaaaaaa sampe 3h masa harus pinjem duit ke orang dolo???? mao withdraw duit sendiri berasa susahhh bgt padahal duit tu udah depan mata🤣 kapokk,kalo butuh uang di saat ini juga susah banget harus nunggu lamaa sampe h masa harus pinjem duit ke orang dolo mao withdraw duit sendiri berasa susahh bgt padahal duit tu udah depan mata kapokk,kalau butuh uang di saat ini juga susah banget harus menunggu lama sampai h masa harus pinjam duit ke orang dulu mau withdraw duit sendiri berasa susahh banget padahal duit itu sudah depan mata kapokk,butuh uang susah banget menunggu h pinjam duit orang withdraw duit berasa susahh banget duit mata kapokk,butuh uang susah banget menunggu h pinjam duit orang withdraw duit berasa susahh banget duit mata kapokk,butuh uang susah banget tunggu h pinjam duit orang withdraw duit asa susahh banget duit mata kapokk,neg,6
Error saat jam Pasar. Selalu berulang error nya,1,error saat jam pasar. selalu berulang error nya,error saat jam pasar selalu berulang error nya,error saat jam pasar selalu berulang error nya,error jam pasar berulang error,error jam pasar berulang error,error jam pasar ulang error,neg,4
Sudah dahftar sudah sukses tapi pas log in tidak bisa. Macam apa ini aplikasi,1,sudah dahftar sudah sukses tapi pas log in tidak bisa. macam apa ini aplikasi,sudah dahftar sudah sukses tapi pas log in tidak bisa macam apa ini aplikasi,sudah dahftar sudah sukses tapi pas log in tidak bisa macam apa ini aplikasi,dahftar sukses pas log in tidak aplikasi,dahftar sukses pas log in aplikasi,dahftar sukses pas log in tidak aplikasi,neg,0
Aplikasi yang kalau kita udah profit lumayan gede pasti langsung error,1,aplikasi yang kalau kita udah profit lumayan gede pasti langsung error,aplikasi yang kalau kita udah profit lumayan gede pasti langsung error,aplikasi yang kalau kita sudah profit lumayan gede pasti langsung error,aplikasi profit lumayan gede langsung error,aplikasi profit lumayan gede langsung error,aplikasi profit lumayan gede langsung error,neg,0
"saldo gak bisa di tarik, dah 3 hari gagal terus.... uangnya mau saya pake buat kebutuhan kuliah.",1,"saldo gak bisa di tarik, dah 3 hari gagal terus.... uangnya mau saya pake buat kebutuhan kuliah.",saldo gak bisa di tarik dah hari gagal terus uangnya mau saya pake buat kebutuhan kuliah,saldo tidak bisa di tarik sudah hari gagal terus uangnya mau saya pakai buat kebutuhan kuliah,saldo tidak tarik gagal uangnya pakai kebutuhan kuliah,saldo tarik gagal uangnya pakai kebutuhan kuliah,saldo tidak tarik gagal uang pakai butuh kuliah,neg,6
"Cash on hand katanya 3 hari kerja ini udah 5 hari blom masuk2 juga , gagal jadi nya ikut ipo yg bisa untung 300% kecewa berat",1,"cash on hand katanya 3 hari kerja ini udah 5 hari blom masuk2 juga , gagal jadi nya ikut ipo yg bisa untung 300% kecewa berat",cash on hand katanya hari kerja ini udah hari blom masuk juga gagal jadi nya ikut ipo yg bisa untung kecewa berat,cash on hand katanya hari kerja ini sudah hari belum masuk juga gagal jadi nya ikut ipo yang bisa untung kecewa berat,cash on hand kerja belum masuk gagal ipo untung kecewa berat,cash on hand kerja masuk gagal ipo untung kecewa berat,cash on hand kerja belum masuk gagal ipo untung kecewa berat,neg,6
"Loadingnya lambat banget, utk scalping tidak cocokkkkk",1,"loadingnya lambat banget, utk scalping tidak cocokkkkk",loadingnya lambat banget utk scalping tidak cocokk,loadingnya lambat banget untuk scalping tidak cocok,loadingnya lambat banget scalping tidak cocok,loadingnya lambat banget scalping cocok,loadingnya lambat banget scalping tidak cocok,neg,4
"Sangat tidak membantu ,harus ini harus itu ke bank jago lagi Harus nya pendaftaran harusnya di persimple saja Kalau ngga mau kehilangan investor Jadi nya saya pindah invest ke yg lain saja lah",2,"sangat tidak membantu ,harus ini harus itu ke bank jago lagi harus nya pendaftaran harusnya di persimple saja kalau ngga mau kehilangan investor jadi nya saya pindah invest ke yg lain saja lah",sangat tidak membantu harus ini harus itu ke bank jago lagi harus nya pendaftaran harusnya di persimple saja kalau ngga mau kehilangan investor jadi nya saya pindah invest ke yg lain saja lah,sangat tidak membantu harus ini harus itu ke bank jago lagi harus nya pendaftaran harusnya di persimple saja kalau tidak mau kehilangan investor jadi nya saya pindah investasi ke yang lain saja lah,tidak membantu bank jago pendaftaran persimple tidak kehilangan investor pindah investasi,membantu bank jago pendaftaran persimple kehilangan investor pindah investasi,tidak bantu bank jago daftar persimple tidak hilang investor pindah investasi,neg,5
mengecewakan. tidak ada rekapitulasi progress trading. profit atau tidak. tidak ada laporan equity awal dan equity saat ini.,3,mengecewakan. tidak ada rekapitulasi progress trading. profit atau tidak. tidak ada laporan equity awal dan equity saat ini.,mengecewakan tidak ada rekapitulasi progress trading profit atau tidak tidak ada laporan equity awal dan equity saat ini,mengecewakan tidak ada rekapitulasi progress trading profit atau tidak tidak ada laporan equity awal dan equity saat ini,mengecewakan tidak rekapitulasi progress trading profit tidak tidak laporan equity equity,mengecewakan rekapitulasi progress trading profit laporan equity equity,kecewa tidak rekapitulasi progress trading profit tidak tidak lapor equity equity,neg,4
Tadi lagi coba daftar tapi otp gk masuk masuk ke hp saya. Provider im3,2,tadi lagi coba daftar tapi otp gk masuk masuk ke hp saya. provider im3,tadi lagi coba daftar tapi otp gk masuk masuk ke hp saya provider im,tadi lagi coba daftar tapi otp tidak masuk masuk ke handphone saya penyedia im,coba daftar otp tidak masuk masuk handphone penyedia im,coba daftar otp masuk masuk handphone penyedia im,coba daftar otp tidak masuk masuk handphone sedia im,neg,0
"Tampilan menarik. Namun stockbit bisa jual paksa saham milik investor, jika menggunakan trading limit yg telat jatuh tempo pelunasan, berbahaya juga ini, mending cari cara lain demi kenyamanan pengguna stocbit",1,"tampilan menarik. namun stockbit bisa jual paksa saham milik investor, jika menggunakan trading limit yg telat jatuh tempo pelunasan, berbahaya juga ini, mending cari cara lain demi kenyamanan pengguna stocbit",tampilan menarik namun stockbit bisa jual paksa saham milik investor jika menggunakan trading limit yg telat jatuh tempo pelunasan berbahaya juga ini mending cari cara lain demi kenyamanan pengguna stocbit,tampilan menarik namun stockbit bisa jual paksa saham milik investor jika menggunakan trading limit yang terlambat jatuh tempo pelunasan berbahaya juga ini lebih baik cari cara lain demi kenyamanan pengguna stocbit,tampilan menarik stockbit jual paksa saham milik investor trading limit terlambat jatuh tempo pelunasan berbahaya cari kenyamanan pengguna stocbit,tampilan menarik stockbit jual paksa saham milik investor trading limit terlambat jatuh tempo pelunasan berbahaya cari kenyamanan pengguna stocbit,tampil tarik stockbit jual paksa saham milik investor trading limit lambat jatuh tempo lunas bahaya cari nyaman guna stocbit,neg,2
"Ini maintenance belum kelar2 jg dari tadi ampun dah, gw mw narik duit woy, asli mending pake ajaib dari pd stokbit",1,"ini maintenance belum kelar2 jg dari tadi ampun dah, gw mw narik duit woy, asli mending pake ajaib dari pd stokbit",ini maintenance belum kelar jg dari tadi ampun dah gw mw narik duit woy asli mending pake ajaib dari pd stokbit,ini maintenance belum selesai juga dari tadi ampun sudah gue now watching menarik duit oi asli lebih baik pakai ajaib dari pada stokbit,maintenance belum selesai ampun gue now watching menarik duit oi asli pakai ajaib stokbit,maintenance selesai ampun gue now watching menarik duit oi asli pakai ajaib stokbit,maintenance belum selesai ampun gue now watching tarik duit oi asli pakai ajaib stokbit,neg,7
withdrawnya lama dan pencairan uang dari hasil jual saham juga lama... kecewa lah pokoknya sm ini aplikasi,1,withdrawnya lama dan pencairan uang dari hasil jual saham juga lama... kecewa lah pokoknya sm ini aplikasi,withdrawnya lama dan pencairan uang dari hasil jual saham juga lama kecewa lah pokoknya sm ini aplikasi,withdrawnya lama dan pencairan uang dari hasil jual saham juga lama kecewa lah pokoknya sama ini aplikasi,withdrawnya pencairan uang hasil jual saham kecewa pokoknya aplikasi,withdrawnya pencairan uang hasil jual saham kecewa pokoknya aplikasi,withdrawnya cair uang hasil jual saham kecewa pokok aplikasi,neg,3
Ni akun demo ngebug mulu sih yang seharusnya bisa TP gak isa yang harus nya CL gak isa mau beli juga gak isa 🗿🗿 hadeh... Stockbit tolong lah ya untung akun demo,3,ni akun demo ngebug mulu sih yang seharusnya bisa tp gak isa yang harus nya cl gak isa mau beli juga gak isa 🗿🗿 hadeh... stockbit tolong lah ya untung akun demo,ni akun demo ngebug mulu sih yang seharusnya bisa tp gak isa yang harus nya cl gak isa mau beli juga gak isa hadeh stockbit tolong lah ya untung akun demo,nih akun demo ngebug melulu sih yang seharusnya bisa tetapi tidak bisa yang harus nya cl tidak bisa mau beli juga tidak bisa aduh stockbit tolong lah iya untung akun demo,nih akun demo ngebug melulu sih tidak cl tidak beli tidak aduh stockbit tolong iya untung akun demo,nih akun demo ngebug melulu sih cl beli aduh stockbit tolong iya untung akun demo,nih akun demo ngebug melulu sih tidak cl tidak beli tidak aduh stockbit tolong iya untung akun demo,neg,2
